Độ pH của đất, Lượng mưa trung bình hàng năm (milimét), Nhiệt độ trung bình hàng năm (độ C), Số giờ nắng trung bình mỗi ngày, Lớp mục tiêu 
4.43,1545,22.5,4.7,Crop_C_Suitable 
7.25,1954,14.0,9.0,Crop_A_Suitable
5.33,1502,21.6,4.3,Crop_C_Suitable
7.71,1881,16.0,9.2,Crop_A_Suitable
5.21,452,26.8,7.4,Not_Suitable
8.04,974,20.3,4.0,Crop_B_Suitable
5.03,1703,19.3,4.0,Crop_C_Suitable
5.35,566,30.4,6.4,Not_Suitable
7.52,904,18.0,4.4,Crop_B_Suitable
5.14,1226,21.8,4.9,Crop_C_Suitable
7.23,2091,9.2,9.1,Crop_A_Suitable
4.63,601,30.1,6.0,Not_Suitable
6.88,2005,11.6,9.3,Crop_A_Suitable
5.39,509,29.2,6.5,Not_Suitable
6.89,1068,15.9,3.7,Crop_B_Suitable
7.84,1067,20.0,3.2,Crop_B_Suitable
7.65,2078,17.3,8.9,Crop_A_Suitable
5.31,1583,23.8,4.6,Crop_C_Suitable
7.25,932,17.8,3.4,Crop_B_Suitable
7.26,935,17.5,3.5,Crop_B_Suitable
4.94,733,32.7,6.3,Not_Suitable
4.58,572,24.7,5.8,Not_Suitable
4.69,454,26.2,6.6,Not_Suitable
5.15,741,35.0,6.7,Not_Suitable
5.09,630,25.0,7.4,Not_Suitable
5.07,1462,20.9,4.3,Crop_C_Suitable
7.65,1080,24.0,4.6,Crop_B_Suitable
5.5,664,27.5,6.9,Not_Suitable
6.82,859,18.4,3.8,Crop_B_Suitable
7.49,959,18.8,3.7,Crop_B_Suitable
7.03,946,19.0,4.5,Crop_B_Suitable
7.63,2078,17.4,8.8,Crop_A_Suitable
5.17,709,31.2,5.8,Not_Suitable
7.16,2156,8.1,9.7,Crop_A_Suitable
7.13,2310,13.0,9.7,Crop_A_Suitable
5.44,460,23.1,6.7,Not_Suitable
5.18,423,28.3,6.6,Not_Suitable
7.36,2092,13.9,8.5,Crop_A_Suitable
7.39,918,17.5,3.4,Crop_B_Suitable
7.33,2177,11.8,8.8,Crop_A_Suitable
4.11,777,25.1,6.4,Not_Suitable
7.66,2183,12.4,9.3,Crop_A_Suitable
4.54,1523,22.1,5.1,Crop_C_Suitable
4.75,1755,22.5,4.5,Crop_C_Suitable
4.11,1418,22.7,5.0,Crop_C_Suitable
4.46,1526,19.2,4.6,Crop_C_Suitable
4.66,670,27.3,5.8,Not_Suitable
5.61,825,22.9,7.1,Not_Suitable
7.43,2021,16.0,10.0,Crop_A_Suitable
4.98,651,30.4,6.3,Not_Suitable
5.07,1683,21.1,4.3,Crop_C_Suitable
7.82,1081,20.5,3.9,Crop_B_Suitable
5.03,482,25.3,6.5,Not_Suitable
5.51,1616,23.0,4.6,Crop_C_Suitable
7.69,2238,8.9,9.1,Crop_A_Suitable
7.53,2240,10.5,9.1,Crop_A_Suitable
7.16,1089,18.9,3.7,Crop_B_Suitable
7.24,1022,22.2,4.1,Crop_B_Suitable
4.86,1523,26.6,5.1,Crop_C_Suitable
7.45,2161,11.6,9.7,Crop_A_Suitable
7.92,1021,24.1,4.2,Crop_B_Suitable
4.53,607,25.3,6.1,Not_Suitable
6.82,1037,22.6,3.9,Crop_B_Suitable
6.65,2412,11.3,8.5,Crop_A_Suitable
7.2,704,17.8,4.8,Crop_B_Suitable
4.25,1596,24.8,5.1,Crop_C_Suitable
7.78,2103,14.2,8.8,Crop_A_Suitable
4.82,608,28.1,6.7,Not_Suitable
8.01,802,22.7,3.9,Crop_B_Suitable
4.86,1802,23.1,4.9,Crop_C_Suitable
5.13,418,29.5,6.7,Not_Suitable
7.19,888,16.8,3.4,Crop_B_Suitable
7.59,2019,12.8,9.4,Crop_A_Suitable
7.42,1078,18.3,3.9,Crop_B_Suitable
4.72,466,29.0,6.8,Not_Suitable
6.99,882,16.4,3.7,Crop_B_Suitable
5.32,1484,20.1,3.6,Crop_C_Suitable
4.35,475,28.0,6.5,Not_Suitable
4.83,1441,21.9,4.3,Crop_C_Suitable
7.44,1085,21.4,3.6,Crop_B_Suitable
7.17,1098,19.4,3.2,Crop_B_Suitable
7.74,2234,13.6,9.5,Crop_A_Suitable
6.94,836,22.2,4.0,Crop_B_Suitable
5.4,491,27.4,6.5,Not_Suitable
5.08,1472,20.1,4.1,Crop_C_Suitable
7.07,2041,5.0,9.8,Crop_A_Suitable
4.83,1319,22.3,3.9,Crop_C_Suitable
7.21,2214,10.0,9.0,Crop_A_Suitable
5.13,1538,20.9,4.2,Crop_C_Suitable
4.82,1446,21.1,4.6,Crop_C_Suitable
4.47,1406,20.0,4.4,Crop_C_Suitable
4.66,1503,23.3,4.9,Crop_C_Suitable
4.77,1574,23.4,4.5,Crop_C_Suitable
4.18,1545,22.6,4.4,Crop_C_Suitable
5.25,1581,23.9,4.7,Crop_C_Suitable
5.42,1595,24.9,5.0,Crop_C_Suitable
5.16,1448,20.9,4.4,Crop_C_Suitable
7.61,860,19.4,4.2,Crop_B_Suitable
4.63,1588,18.0,4.7,Crop_C_Suitable
7.68,2143,10.9,8.7,Crop_A_Suitable
6.98,1004,17.5,4.2,Crop_B_Suitable
4.5,1660,19.8,4.8,Crop_C_Suitable
5.06,1453,18.1,4.3,Crop_C_Suitable
7.87,2018,10.2,8.8,Crop_A_Suitable
7.33,1107,20.4,3.5,Crop_B_Suitable
7.71,2068,13.2,9.3,Crop_A_Suitable
6.72,849,19.3,3.4,Crop_B_Suitable
7.42,1061,19.5,4.0,Crop_B_Suitable
7.43,2106,15.6,8.8,Crop_A_Suitable
5.43,753,21.7,5.8,Not_Suitable
7.52,1069,22.3,3.8,Crop_B_Suitable
7.42,802,16.6,4.1,Crop_B_Suitable
5.01,1788,18.7,5.1,Crop_C_Suitable
5.0,1352,18.9,4.8,Crop_C_Suitable
7.38,725,16.1,3.9,Crop_B_Suitable
4.64,1455,21.4,4.4,Crop_C_Suitable
7.79,2077,11.6,8.6,Crop_A_Suitable
4.88,771,27.5,6.5,Not_Suitable
7.29,1023,17.8,3.9,Crop_B_Suitable
4.95,598,27.4,6.3,Not_Suitable
6.9,2178,15.4,8.7,Crop_A_Suitable
4.97,477,27.7,6.0,Not_Suitable
7.6,2180,13.7,9.6,Crop_A_Suitable
5.16,1444,17.6,4.5,Crop_C_Suitable
4.74,1541,21.2,4.6,Crop_C_Suitable
4.52,1559,23.4,4.7,Crop_C_Suitable
7.52,2083,11.0,9.0,Crop_A_Suitable
5.45,748,29.7,5.5,Not_Suitable
5.32,1521,21.0,4.6,Crop_C_Suitable
8.5,2016,10.6,9.1,Crop_A_Suitable
5.0,1504,19.0,4.3,Crop_C_Suitable
7.34,2157,11.5,8.9,Crop_A_Suitable
4.65,1542,23.9,4.4,Crop_C_Suitable
7.02,1079,19.7,3.3,Crop_B_Suitable
4.86,549,25.4,6.4,Not_Suitable
4.9,1415,20.3,4.1,Crop_C_Suitable
7.55,2142,15.6,8.9,Crop_A_Suitable
7.57,2115,13.8,9.0,Crop_A_Suitable
4.18,1500,21.0,4.9,Crop_C_Suitable
5.41,1683,19.3,4.2,Crop_C_Suitable
5.09,429,25.4,6.6,Not_Suitable
7.92,2022,14.3,8.2,Crop_A_Suitable
7.49,1002,22.1,3.8,Crop_B_Suitable
7.93,2111,8.1,8.2,Crop_A_Suitable
4.69,480,29.9,6.5,Not_Suitable
7.03,1232,15.3,3.6,Crop_B_Suitable
6.96,2095,8.6,8.3,Crop_A_Suitable
5.34,1546,15.6,3.4,Crop_C_Suitable
5.3,403,28.4,6.5,Not_Suitable
5.17,1559,13.1,4.5,Crop_C_Suitable
4.0,693,25.4,5.9,Not_Suitable
5.05,1657,19.1,4.4,Crop_C_Suitable
7.67,2137,16.4,9.2,Crop_A_Suitable
7.65,1948,12.2,9.1,Crop_A_Suitable
5.39,730,22.2,6.3,Not_Suitable
5.26,806,29.6,6.2,Not_Suitable
4.81,1566,21.6,4.7,Crop_C_Suitable
7.67,868,18.2,4.6,Crop_B_Suitable
4.76,1657,22.1,4.1,Crop_C_Suitable
7.38,2073,12.1,8.9,Crop_A_Suitable
7.65,918,18.7,4.2,Crop_B_Suitable
7.39,2178,12.0,8.8,Crop_A_Suitable
7.72,2129,14.3,10.0,Crop_A_Suitable
7.53,2345,9.8,9.0,Crop_A_Suitable
5.55,577,29.2,5.9,Not_Suitable
4.68,1635,23.6,4.7,Crop_C_Suitable
7.24,2018,8.4,9.3,Crop_A_Suitable
4.61,579,23.2,6.3,Not_Suitable
5.23,380,26.7,6.4,Not_Suitable
5.21,465,23.8,6.9,Not_Suitable
7.65,1037,21.5,3.8,Crop_B_Suitable
5.26,641,28.1,6.3,Not_Suitable
7.16,889,20.1,3.3,Crop_B_Suitable
6.86,1201,17.5,3.4,Crop_B_Suitable
7.38,2202,13.1,9.4,Crop_A_Suitable
7.28,980,20.8,3.4,Crop_B_Suitable
7.57,2048,11.3,8.8,Crop_A_Suitable
7.56,2007,14.6,9.0,Crop_A_Suitable
7.58,958,23.2,3.5,Crop_B_Suitable
7.18,813,20.0,4.0,Crop_B_Suitable
7.6,2057,14.1,9.6,Crop_A_Suitable
4.58,1402,27.1,4.2,Crop_C_Suitable
4.58,616,31.2,5.9,Not_Suitable
7.1,945,20.1,3.6,Crop_B_Suitable
7.08,838,15.5,4.2,Crop_B_Suitable
6.86,1041,21.7,4.3,Crop_B_Suitable
5.64,573,24.9,6.9,Not_Suitable
7.66,2086,17.4,9.1,Crop_A_Suitable
6.65,739,19.2,4.5,Crop_B_Suitable
4.56,1564,22.1,4.9,Crop_C_Suitable
6.86,2105,14.3,9.2,Crop_A_Suitable
7.06,1028,18.9,4.1,Crop_B_Suitable
7.31,2033,10.9,9.4,Crop_A_Suitable
6.81,2080,15.0,8.9,Crop_A_Suitable
7.42,2040,15.7,9.4,Crop_A_Suitable
7.26,942,14.3,4.9,Crop_B_Suitable
7.22,1023,17.1,3.6,Crop_B_Suitable
7.53,2097,9.3,9.3,Crop_A_Suitable
4.72,1333,19.3,4.8,Crop_C_Suitable
6.95,762,15.1,4.4,Crop_B_Suitable
7.83,1910,11.1,8.7,Crop_A_Suitable
7.42,2118,12.9,8.9,Crop_A_Suitable
5.05,660,29.1,5.8,Not_Suitable
4.43,1385,18.8,4.9,Crop_C_Suitable
7.12,2301,13.1,9.1,Crop_A_Suitable
4.35,1376,21.3,4.8,Crop_C_Suitable
7.11,699,19.5,3.7,Crop_B_Suitable
4.85,1611,22.5,4.7,Crop_C_Suitable
7.5,2027,12.4,8.9,Crop_A_Suitable
4.86,1508,22.0,4.4,Crop_C_Suitable
4.81,1412,24.8,5.7,Crop_C_Suitable
5.41,660,31.3,6.1,Not_Suitable
7.7,2178,7.2,9.0,Crop_A_Suitable
4.42,1416,19.6,4.0,Crop_C_Suitable
7.14,803,20.4,3.8,Crop_B_Suitable
5.39,590,29.3,6.5,Not_Suitable
6.95,861,20.8,3.8,Crop_B_Suitable
7.8,778,19.9,4.6,Crop_B_Suitable
7.37,1017,18.9,3.4,Crop_B_Suitable
5.38,662,22.3,7.1,Not_Suitable
7.8,2075,11.3,9.3,Crop_A_Suitable
6.97,2114,16.4,9.1,Crop_A_Suitable
7.29,931,20.1,4.0,Crop_B_Suitable
5.17,659,29.2,6.9,Not_Suitable
4.88,804,25.1,6.0,Not_Suitable
7.45,2028,15.1,9.2,Crop_A_Suitable
7.42,937,19.2,3.8,Crop_B_Suitable
7.12,955,17.3,3.8,Crop_B_Suitable
6.92,1044,20.5,4.1,Crop_B_Suitable
7.52,2189,13.3,9.5,Crop_A_Suitable
7.95,2141,14.0,9.2,Crop_A_Suitable
7.07,2234,14.4,8.7,Crop_A_Suitable
4.96,1492,15.3,4.3,Crop_C_Suitable
7.0,1135,19.5,3.0,Crop_B_Suitable
5.1,1606,21.3,4.0,Crop_C_Suitable
4.33,828,23.5,6.6,Not_Suitable
5.06,605,27.6,6.3,Not_Suitable
5.48,749,30.0,7.2,Not_Suitable
5.47,615,26.2,6.7,Not_Suitable
7.85,2111,12.7,8.5,Crop_A_Suitable
7.43,2101,8.5,9.0,Crop_A_Suitable
7.17,1054,20.3,4.0,Crop_B_Suitable
4.85,1406,19.2,3.9,Crop_C_Suitable
7.47,2054,12.9,8.6,Crop_A_Suitable
4.8,475,33.0,6.3,Not_Suitable
4.58,1466,28.2,4.2,Crop_C_Suitable
7.86,906,21.5,3.7,Crop_B_Suitable
4.78,1714,23.4,4.8,Crop_C_Suitable
6.91,880,17.5,3.3,Crop_B_Suitable
5.08,1322,24.0,4.7,Crop_C_Suitable
7.5,2011,13.3,8.9,Crop_A_Suitable
4.87,1679,20.2,4.6,Crop_C_Suitable
5.1,571,25.3,6.4,Not_Suitable
5.1,300,26.1,6.7,Not_Suitable
7.35,2095,6.4,9.2,Crop_A_Suitable
5.28,681,25.0,5.9,Not_Suitable
5.18,745,29.3,6.3,Not_Suitable
7.25,1098,16.4,3.6,Crop_B_Suitable
7.28,704,21.0,3.8,Crop_B_Suitable
5.31,755,30.5,6.1,Not_Suitable
4.84,619,32.4,6.4,Not_Suitable
4.5,1707,18.9,3.8,Crop_C_Suitable
5.06,1596,27.5,4.5,Crop_C_Suitable
5.29,538,30.0,6.4,Not_Suitable
4.87,655,32.1,6.5,Not_Suitable
4.73,677,28.1,7.0,Not_Suitable
4.56,1374,18.8,4.5,Crop_C_Suitable
4.51,1623,23.8,4.7,Crop_C_Suitable
4.95,746,33.7,6.1,Not_Suitable
7.44,943,23.5,4.3,Crop_B_Suitable
7.44,962,22.0,3.3,Crop_B_Suitable
7.35,1036,17.5,3.6,Crop_B_Suitable
5.0,1683,22.2,4.8,Crop_C_Suitable
5.12,1707,23.8,5.0,Crop_C_Suitable
7.88,2500,12.4,9.0,Crop_A_Suitable
8.12,2014,13.8,9.0,Crop_A_Suitable
5.37,834,27.2,7.2,Not_Suitable
7.69,874,16.1,3.9,Crop_B_Suitable
5.14,724,34.9,5.6,Not_Suitable
7.93,1930,11.1,9.3,Crop_A_Suitable
4.87,488,28.7,6.8,Not_Suitable
4.98,630,25.6,6.5,Not_Suitable
7.84,1958,13.1,9.1,Crop_A_Suitable
6.85,895,16.1,3.9,Crop_B_Suitable
5.24,621,22.9,6.0,Not_Suitable
8.1,2152,11.5,9.1,Crop_A_Suitable
7.03,897,16.9,3.8,Crop_B_Suitable
7.26,1021,21.3,3.6,Crop_B_Suitable
5.43,752,27.3,7.2,Not_Suitable
4.93,1556,20.0,4.2,Crop_C_Suitable
4.84,1290,16.7,4.2,Crop_C_Suitable
7.78,2111,8.9,9.9,Crop_A_Suitable
7.5,947,21.0,3.9,Crop_B_Suitable
5.0,1402,24.4,4.5,Crop_C_Suitable
5.06,1649,22.6,4.0,Crop_C_Suitable
7.15,1207,19.3,4.1,Crop_B_Suitable
4.78,642,29.3,5.7,Not_Suitable
7.05,939,19.3,3.7,Crop_B_Suitable
5.21,683,26.6,6.8,Not_Suitable
7.46,982,18.5,3.6,Crop_B_Suitable
5.08,1577,20.9,4.4,Crop_C_Suitable
5.18,628,26.8,6.4,Not_Suitable
5.23,491,25.4,6.6,Not_Suitable
5.04,1496,20.4,4.1,Crop_C_Suitable
4.9,483,24.3,6.2,Not_Suitable
5.74,667,27.5,6.8,Not_Suitable
5.16,547,25.4,6.3,Not_Suitable
4.95,1658,23.0,5.4,Crop_C_Suitable
6.83,696,18.2,3.4,Crop_B_Suitable
5.26,487,25.8,6.4,Not_Suitable
5.29,537,32.1,6.8,Not_Suitable
7.38,1935,9.3,9.6,Crop_A_Suitable
7.62,2128,11.7,8.9,Crop_A_Suitable
7.75,2298,15.1,9.3,Crop_A_Suitable
5.34,1730,20.3,4.4,Crop_C_Suitable
7.36,902,22.3,4.1,Crop_B_Suitable
7.33,2179,13.1,9.3,Crop_A_Suitable
4.83,673,28.8,6.4,Not_Suitable
5.15,1629,24.1,4.3,Crop_C_Suitable
7.62,2133,9.9,8.7,Crop_A_Suitable
